team,player,nation,pos,age,born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
St. Louis,Tomáš Ostrák,CZE,"MF,FW",22,2000,30,13,1151,12.8,3,2,5,3,0,0,7,0,2.3,2.3,1.3,3.6,29,56,79,0.23,0.16,0.39,0.23,0.39,0.18,0.1,0.28,0.18,0.28
Toronto FC,Adam Pearlman,USA,DF,17,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto FC,Adama Diomande,NOR,FW,32,1990,5,2,166,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,5,4,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.1,0.04,0.1
Toronto FC,Aimé Mabika,ZAM,DF,24,1998,21,17,1516,16.8,0,0,0,0,0,0,2,0,0.7,0.7,0.0,0.7,4,33,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Toronto FC,Alonso Coello,ESP,MF,23,1999,21,13,1290,14.3,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.5,10,85,12,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
Toronto FC,Antony Curic,CAN,DF,22,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto FC,Ayo Akinola,CAN,FW,23,2000,14,4,558,6.2,0,0,0,0,0,0,0,0,1.0,1.0,0.3,1.3,6,8,40,0.0,0.0,0.0,0.0,0.0,0.17,0.05,0.21,0.17,0.21
Toronto FC,Brandon Servania,USA,"MF,FW",23,1999,28,21,1698,18.9,1,1,2,1,0,0,3,0,1.0,1.0,1.8,2.7,22,68,51,0.05,0.05,0.11,0.05,0.11,0.05,0.09,0.15,0.05,0.15
Toronto FC,C.J. Sapong,USA,FW,34,1988,20,15,1269,14.1,1,0,1,1,0,0,0,0,2.7,2.7,0.6,3.3,22,26,56,0.07,0.0,0.07,0.07,0.07,0.19,0.04,0.23,0.19,0.23
Toronto FC,Cassius Mailula,RSA,"FW,MF",21,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,1,1,5,0.0,0.0,0.0,0.0,0.0,0.31,0.03,0.35,0.31,0.35
Toronto FC,Cristián Gutiérrez,CHI,DF,25,1997,6,4,244,2.7,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,4,3,12,0.0,0.37,0.37,0.0,0.37,0.01,0.12,0.12,0.01,0.12
Toronto FC,Deandre Kerr,CAN,"FW,MF",20,2002,23,16,1214,13.5,5,1,6,5,0,0,0,0,4.1,4.1,2.1,6.2,19,11,80,0.37,0.07,0.44,0.37,0.44,0.3,0.16,0.46,0.3,0.46
Toronto FC,Federico Bernardeschi,ITA,"FW,MF",28,1994,31,31,2601,28.9,5,2,7,4,1,1,7,1,5.0,4.3,5.6,9.9,117,113,264,0.17,0.07,0.24,0.14,0.21,0.17,0.2,0.37,0.15,0.34
Toronto FC,Franco Ibarra,ARG,MF,21,2001,7,5,440,4.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,23,5,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Toronto FC,Greg Ranjitsingh,TRI,GK,29,1993,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto FC,Hugo-Hilaire Mbongue Mbongue,CAN,"FW,MF",18,2004,11,1,260,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.6,6,3,22,0.0,0.0,0.0,0.0,0.0,0.01,0.19,0.2,0.01,0.2
Toronto FC,Jahkeele Marshall-Rutty,CAN,"MF,DF",18,2004,22,11,1148,12.8,0,1,1,0,0,0,3,1,1.3,1.3,0.7,2.0,38,31,75,0.0,0.08,0.08,0.0,0.08,0.1,0.06,0.16,0.1,0.16
Toronto FC,Jesús Batiz,USA,"MF,FW",23,1999,2,0,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,2,8,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09
Toronto FC,Jonathan Osorio,CAN,"MF,FW",30,1992,21,21,1876,20.8,4,4,8,4,0,0,1,0,3.1,3.1,2.0,5.1,36,132,97,0.19,0.19,0.38,0.19,0.38,0.15,0.1,0.24,0.15,0.24
Toronto FC,Jordan Faria,CAN,FW,22,2000,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto FC,Jordan Perruzza,CAN,"FW,MF",22,2001,5,1,125,1.4,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.5,2,2,12,0.0,0.0,0.0,0.0,0.0,0.31,0.03,0.34,0.31,0.34
Toronto FC,Kobe Franklin,CAN,"DF,MF",19,2003,27,23,2172,24.1,0,1,1,0,0,0,2,0,0.5,0.5,1.2,1.7,35,102,79,0.0,0.04,0.04,0.0,0.04,0.02,0.05,0.07,0.02,0.07
Toronto FC,Kosi Thompson,CAN,"MF,FW",20,2003,14,6,582,6.5,1,0,1,1,0,0,0,0,0.6,0.6,0.9,1.5,4,13,11,0.15,0.0,0.15,0.15,0.15,0.1,0.13,0.23,0.1,0.23
Toronto FC,Latif Blessing,GHA,"FW,MF",26,1996,5,1,155,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,6,11,0.0,0.0,0.0,0.0,0.0,0.16,0.06,0.22,0.16,0.22
Toronto FC,Lazar Stefanovic,CAN,DF,16,2006,2,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto FC,Lorenzo Insigne,ITA,"FW,MF",31,1991,20,18,1520,16.9,4,4,8,4,0,0,2,0,5.4,5.4,3.5,8.9,78,90,139,0.24,0.24,0.47,0.24,0.47,0.32,0.21,0.53,0.32,0.53
Toronto FC,Luka Gavran,CAN,GK,22,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto FC,Lukas MacNaughton,CAN,DF,27,1995,3,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto FC,Mark-Anthony Kaye,CAN,MF,28,1994,21,21,1840,20.4,2,0,2,2,0,0,4,0,1.2,1.2,0.6,1.8,15,109,29,0.1,0.0,0.1,0.1,0.1,0.06,0.03,0.09,0.06,0.09
Toronto FC,Matt Hedges,USA,DF,32,1990,14,13,1068,11.9,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.4,3,39,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Toronto FC,Michael Bradley,USA,"MF,DF",35,1987,17,17,1441,16.0,1,1,2,1,0,0,2,0,0.8,0.8,0.4,1.2,3,45,8,0.06,0.06,0.12,0.06,0.12,0.05,0.03,0.07,0.05,0.07
Toronto FC,Prince Osei Owusu,GER,FW,26,1997,6,3,257,2.9,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,5,2,12,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14
Toronto FC,Raoul Petretta,ITA,DF,25,1997,24,22,1742,19.4,0,1,1,0,0,0,5,1,0.4,0.4,1.2,1.5,20,73,61,0.0,0.05,0.05,0.0,0.05,0.02,0.06,0.08,0.02,0.08
Toronto FC,Richie Laryea,CAN,DF,28,1995,18,18,1610,17.9,2,3,5,2,0,0,4,0,0.8,0.8,1.5,2.3,58,82,63,0.11,0.17,0.28,0.11,0.28,0.04,0.09,0.13,0.04,0.13
Toronto FC,Sean Johnson,USA,GK,33,1989,20,20,1800,20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Toronto FC,Shane O'Neill,USA,DF,29,1993,14,10,937,10.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,7,26,3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Toronto FC,Sigurd Rosted,NOR,DF,28,1994,21,18,1645,18.3,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,1,27,0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Toronto FC,Themi Antonoglou,CAN,"DF,MF",21,2001,11,3,480,5.3,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,6,12,25,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
Toronto FC,Tomas Romero,SLV,GK,22,2000,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Toronto FC,Víctor Vázquez,ESP,"MF,FW",36,1987,12,3,241,2.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,21,7,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.03,0.06
Vancouver,Alessandro Schöpf,AUT,MF,28,1994,28,21,1774,19.7,1,0,1,1,0,0,5,0,1.4,1.4,0.6,2.1,32,83,65,0.05,0.0,0.05,0.05,0.05,0.07,0.03,0.1,0.07,0.1
Vancouver,Ali Ahmed,CAN,"MF,DF",22,2000,22,12,1126,12.5,2,1,3,2,0,0,2,0,2.7,2.7,1.2,3.9,53,71,105,0.16,0.08,0.24,0.16,0.24,0.22,0.09,0.31,0.22,0.31
Vancouver,Andrés Cubas,PAR,MF,26,1996,28,27,2139,23.8,0,1,1,0,0,0,7,0,0.1,0.1,0.7,0.8,4,100,5,0.0,0.04,0.04,0.0,0.04,0.01,0.03,0.03,0.01,0.03
Vancouver,Brian White,USA,FW,26,1996,32,30,2542,28.2,15,4,19,15,0,0,4,0,15.5,15.5,4.5,20.0,21,39,178,0.53,0.14,0.67,0.53,0.67,0.55,0.16,0.71,0.55,0.71
Vancouver,Cristián Dajome,COL,"MF,FW",29,1994,7,4,297,3.3,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,10,8,28,0.0,0.0,0.0,0.0,0.0,0.15,0.09,0.24,0.15,0.24
Vancouver,Deiber Caicedo,COL,"MF,FW",22,2000,15,0,196,2.2,0,0,0,0,0,0,0,0,1.0,1.0,0.2,1.2,12,9,21,0.0,0.0,0.0,0.0,0.0,0.48,0.09,0.57,0.48,0.57
Vancouver,Giovanni Aguilar,USA,MF,24,1998,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vancouver,Javain Brown,JAM,DF,23,1999,25,21,1767,19.6,1,1,2,1,0,0,4,0,1.5,1.4,1.0,2.4,23,56,63,0.05,0.05,0.1,0.05,0.1,0.08,0.05,0.13,0.07,0.12
Vancouver,Jean-Claude Ngando,CMR,"MF,FW",23,1999,8,0,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,10,5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
Vancouver,Julian Gressel,USA,MF,29,1993,18,16,1357,15.1,3,5,8,3,0,0,2,0,2.6,2.6,6.1,8.7,32,101,92,0.2,0.33,0.53,0.2,0.53,0.17,0.4,0.58,0.17,0.58
Vancouver,Junior Hoilett,CAN,"FW,MF",32,1990,7,2,233,2.6,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,5,15,20,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.26,0.14,0.26
Vancouver,Karifa Yao,CAN,MF,22,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vancouver,Levonte Johnson,CAN,"FW,DF",23,1999,7,2,201,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,9,3,22,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09
Vancouver,Luís Martins,POR,DF,30,1992,20,18,1618,18.0,0,0,0,0,0,0,2,0,0.3,0.3,1.5,1.9,38,90,78,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.1,0.02,0.1
Vancouver,Mathías Laborda,URU,DF,23,1999,23,17,1536,17.1,1,0,1,1,0,0,8,1,1.3,1.3,1.2,2.5,16,44,35,0.06,0.0,0.06,0.06,0.06,0.08,0.07,0.15,0.08,0.15
Vancouver,Pedro Vite,ECU,"MF,FW",20,2002,34,24,2151,23.9,4,0,4,4,0,0,4,0,2.9,2.9,2.8,5.7,35,171,124,0.17,0.0,0.17,0.17,0.17,0.12,0.12,0.24,0.12,0.24
Vancouver,Ranko Veselinović,SRB,DF,23,1999,32,31,2823,31.4,2,2,4,2,0,0,2,0,1.2,1.2,1.3,2.5,6,82,7,0.06,0.06,0.13,0.06,0.13,0.04,0.04,0.08,0.04,0.08
Vancouver,Richie Laryea,CAN,"FW,DF",28,1995,12,12,948,10.5,1,2,3,1,0,0,2,0,1.2,1.2,1.0,2.3,31,31,63,0.09,0.19,0.28,0.09,0.28,0.12,0.1,0.21,0.12,0.21
Vancouver,Russell Teibert,CAN,MF,30,1992,7,0,153,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,3,7,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09
Vancouver,Ryan Gauld,SCO,"FW,MF",27,1995,32,30,2632,29.2,11,12,23,5,6,8,5,0,14.0,7.7,10.0,17.7,77,203,200,0.38,0.41,0.79,0.17,0.58,0.48,0.34,0.82,0.26,0.6
Vancouver,Ryan Raposo,CAN,"DF,FW",23,1999,26,16,1331,14.8,0,2,2,0,0,0,4,0,0.8,0.8,2.6,3.4,53,47,97,0.0,0.14,0.14,0.0,0.14,0.06,0.17,0.23,0.06,0.23
Vancouver,Sam Adekugbe,CAN,"FW,DF",28,1995,10,4,409,4.5,0,1,1,0,0,0,2,0,0.2,0.2,0.8,0.9,7,17,35,0.0,0.22,0.22,0.0,0.22,0.03,0.18,0.21,0.03,0.21
Vancouver,Sebastian Berhalter,USA,MF,21,2001,28,11,1299,14.4,2,2,4,2,0,0,6,0,0.9,0.9,1.9,2.9,12,80,23,0.14,0.14,0.28,0.14,0.28,0.07,0.13,0.2,0.07,0.2
Vancouver,Sergio Córdova,VEN,"FW,MF",25,1997,19,9,842,9.4,2,0,2,2,0,0,2,0,2.8,2.8,1.2,4.0,22,17,58,0.21,0.0,0.21,0.21,0.21,0.3,0.12,0.43,0.3,0.43
Vancouver,Simon Becher,USA,"FW,MF",23,1999,19,5,613,6.8,4,1,5,4,0,0,0,0,2.4,2.4,1.2,3.6,6,12,48,0.59,0.15,0.73,0.59,0.73,0.35,0.18,0.53,0.35,0.53
Vancouver,Thomas Hasal,CAN,GK,23,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vancouver,Tristan Blackmon,USA,DF,26,1996,30,28,2520,28.0,2,0,2,2,0,0,5,0,1.5,1.5,0.2,1.7,18,95,3,0.07,0.0,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06
Vancouver,Yohei Takaoka,JPN,GK,26,1996,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
