team,player,nation,pos,age,born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Seattle,Kelyn Rowe,USA,DF,31,1991,9,3,341,3.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,22,8,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07
Seattle,Léo Chú,BRA,FW,22,2000,32,26,2049,22.8,5,7,12,5,0,0,7,1,4.7,4.7,5.7,10.4,102,55,287,0.22,0.31,0.53,0.22,0.53,0.21,0.25,0.46,0.21,0.46
Seattle,Nicolás Lodeiro,URU,"MF,FW",33,1989,33,28,2478,27.5,1,5,6,0,1,1,6,0,4.3,3.5,6.0,9.5,64,235,246,0.04,0.18,0.22,0.0,0.18,0.16,0.22,0.37,0.13,0.34
Seattle,Nouhou Tolo,CMR,DF,25,1997,28,23,2048,22.8,0,0,0,0,0,0,6,0,0.4,0.4,0.6,0.9,52,116,29,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
Seattle,Obed Vargas,USA,MF,17,2005,22,14,1321,14.7,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.8,15,66,32,0.0,0.07,0.07,0.0,0.07,0.01,0.04,0.05,0.01,0.05
Seattle,Paul Rothrock,USA,FW,24,1999,4,0,44,0.5,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,2,1,10,2.05,0.0,2.05,2.05,2.05,1.54,0.0,1.54,1.54,1.54
Seattle,Raúl Ruidíaz,PER,FW,32,1990,18,11,1053,11.7,5,1,6,5,0,0,1,0,5.7,5.7,1.0,6.8,7,23,60,0.43,0.09,0.51,0.43,0.51,0.49,0.09,0.58,0.49,0.58
Seattle,Reed Baker-Whiting,USA,"DF,FW",17,2005,19,6,642,7.1,0,1,1,0,0,0,0,0,0.2,0.2,0.7,0.8,25,29,53,0.0,0.14,0.14,0.0,0.14,0.02,0.09,0.11,0.02,0.11
Seattle,Sota Kitahara,USA,DF,20,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seattle,Stefan Cleveland,USA,GK,28,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seattle,Stefan Frei,SUI,GK,36,1986,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seattle,Xavier Arreaga,ECU,"DF,MF",28,1994,14,3,355,3.9,0,0,0,0,0,0,0,0,0.9,0.9,0.0,0.9,1,8,0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.24
Seattle,Yeimar Gómez Andrade,COL,DF,30,1992,33,32,2887,32.1,2,0,2,2,0,0,6,0,1.6,1.6,0.6,2.1,16,116,10,0.06,0.0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07
Sporting KC,Alan Pulido,MEX,FW,31,1991,28,26,2207,24.5,14,1,15,11,3,4,2,0,8.4,5.1,2.6,7.7,38,69,134,0.57,0.04,0.61,0.45,0.49,0.34,0.11,0.45,0.21,0.31
Sporting KC,Andreu Fontàs,ESP,DF,33,1989,28,27,2392,26.6,0,0,0,0,0,0,4,1,0.7,0.7,0.3,1.0,14,127,1,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
Sporting KC,Ben Sweat,USA,DF,31,1991,5,4,314,3.5,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,10,18,15,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
Sporting KC,Cameron Duke,USA,DF,21,2001,4,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Sporting KC,Chris Rindov,USA,DF,21,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting KC,Daniel Rosero,COL,DF,29,1993,26,26,2262,25.1,2,0,2,2,0,0,8,0,1.9,1.9,0.1,2.0,3,46,0,0.08,0.0,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08
Sporting KC,Danny Flores,USA,MF,20,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting KC,Dániel Sallói,HUN,FW,26,1996,34,33,2867,31.9,7,8,15,7,0,0,5,0,7.0,7.0,7.2,14.3,120,113,306,0.22,0.25,0.47,0.22,0.47,0.22,0.23,0.45,0.22,0.45
Sporting KC,Erik Thommy,GER,"MF,FW",28,1994,34,32,2580,28.7,5,5,10,5,0,1,7,0,5.5,4.7,3.3,8.0,110,154,166,0.17,0.17,0.35,0.17,0.35,0.19,0.11,0.31,0.16,0.28
Sporting KC,Felipe Gutiérrez,CHI,MF,32,1990,8,4,293,3.3,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,4,16,8,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.19,0.1,0.19
Sporting KC,Felipe Hernandez,USA,MF,24,1998,11,2,321,3.6,1,0,1,1,0,0,0,0,0.8,0.8,0.5,1.3,7,11,16,0.28,0.0,0.28,0.28,0.28,0.22,0.14,0.36,0.22,0.36
Sporting KC,Gadi Kinda,ISR,MF,28,1994,20,8,837,9.3,3,4,7,3,0,0,3,0,2.6,2.6,1.4,4.0,28,71,45,0.32,0.43,0.75,0.32,0.75,0.28,0.15,0.43,0.28,0.43
Sporting KC,Graham Zusi,USA,DF,36,1986,14,9,865,9.6,0,1,1,0,0,0,0,0,0.2,0.2,1.3,1.5,21,66,36,0.0,0.1,0.1,0.0,0.1,0.02,0.13,0.16,0.02,0.16
Sporting KC,Jake Davis,USA,DF,21,2002,26,24,2037,22.6,0,1,1,0,0,0,3,0,0.1,0.1,1.6,1.7,35,101,110,0.0,0.04,0.04,0.0,0.04,0.01,0.07,0.08,0.01,0.08
Sporting KC,John Pulskamp,USA,GK,21,2001,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting KC,Johnny Russell,SCO,FW,32,1990,25,21,1687,18.7,8,3,11,7,1,1,1,1,4.7,3.9,2.8,6.7,73,65,125,0.43,0.16,0.59,0.37,0.53,0.25,0.15,0.4,0.21,0.35
Sporting KC,Kayden Pierre,USA,DF,19,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting KC,Kendall McIntosh,USA,GK,29,1994,14,13,1192,13.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting KC,Khiry Shelton,USA,"FW,MF",29,1993,24,7,842,9.4,1,0,1,1,0,0,2,0,1.2,1.2,1.4,2.6,17,43,72,0.11,0.0,0.11,0.11,0.11,0.13,0.15,0.28,0.13,0.28
