player_url,fifa_version,short_name,long_name,Team,league_name,nationality_name,alpha_3_code,picture_url,local_image_path
https://sofifa.com/player/199562/ilie-sanchez-farres/240002,24.0,Ilie Sánchez,Ilie Sánchez Farrés,LAFC,Major League Soccer,Spain,ESP,https://cdn.sofifa.net/players/199/562/24_360.png,plotly-dash/assets/playersImage/Ilie_Sánchez_LAFC.png
https://sofifa.com/player/213439/jonathan-osorio/240002,24.0,J. Osorio,Jonathan Osorio,Toronto FC,Major League Soccer,Canada,CAN,https://cdn.sofifa.net/players/213/439/24_360.png,plotly-dash/assets/playersImage/Jonathan_Osorio_Toronto_FC.png
https://sofifa.com/player/238332/enzo-copetti/240002,24.0,E. Copetti,Enzo Nahuel Copetti,Charlotte,Major League Soccer,Argentina,ARG,https://cdn.sofifa.net/players/238/332/24_360.png,plotly-dash/assets/playersImage/Enzo_Copetti_Charlotte_FC.png
https://sofifa.com/player/251410/gregore-de-magalhaes-da-s/240002,24.0,Gregore,Gregore de Magalhães da S.,Inter Miami,Major League Soccer,Brazil,BRA,https://cdn.sofifa.net/players/251/410/24_360.png,plotly-dash/assets/playersImage/Gregore_Inter_Miami_C.F..png
https://sofifa.com/player/245065/diego-palacios/240002,24.0,D. Palacios,Juan Diego Palacios Ricardo,LAFC,Major League Soccer,Ecuador,ECU,https://cdn.sofifa.net/players/245/065/24_360.png,plotly-dash/assets/playersImage/Diego_Palacios_LAFC.png
https://sofifa.com/player/242084/carlos-miguel-coronel/240002,24.0,Carlos Coronel,Carlos Miguel Coronel,New York Red Bulls,Major League Soccer,Brazil,BRA,https://cdn.sofifa.net/players/242/084/24_360.png,plotly-dash/assets/playersImage/Carlos_Coronel_New_York_Red_Bulls.png
https://sofifa.com/player/232120/shaquell-moore/240002,24.0,S. Moore,Shaquell Moore,Nashville SC,Major League Soccer,United States,USA,https://cdn.sofifa.net/players/232/120/24_360.png,plotly-dash/assets/playersImage/Shaquell_Moore_Nashville_SC.png
https://sofifa.com/player/258881/obinna-nwobodo/240002,24.0,O. Nwobodo,Obinna Nwobodo,Cincinnati,Major League Soccer,Nigeria,NGA,https://cdn.sofifa.net/players/258/881/24_360.png,plotly-dash/assets/playersImage/Obinna_Nwobodo_FC_Cincinnati.png
https://sofifa.com/player/244186/lucas-lima-linhares/240002,24.0,Luquinhas,Lucas Lima Linhares,New York Red Bulls,Major League Soccer,Brazil,BRA,https://cdn.sofifa.net/players/244/186/24_360.png,plotly-dash/assets/playersImage/Luquinhas_New_York_Red_Bulls.png
https://sofifa.com/player/189280/ashley-westwood/240002,24.0,A. Westwood,Ashley Westwood,Charlotte,Major League Soccer,England,ENG,https://cdn.sofifa.net/players/189/280/24_360.png,plotly-dash/assets/playersImage/Ashley_Westwood_Charlotte_FC.png
https://sofifa.com/player/206414/sergiy-kryvtsov/240002,24.0,S. Kryvtsov,Sergiy Kryvtsov,Inter Miami,Major League Soccer,Ukraine,UKR,https://cdn.sofifa.net/players/206/414/24_360.png,plotly-dash/assets/playersImage/Serhiy_Kryvtsov_Inter_Miami_C.F..png
