player,Team,total_missed_games,total_missed_injured,total_missed_international_duty,total_missed_other,total_missed_suspended
Nathan Byrne,Charlotte,1,1,0,0,0
Nemanja Radoja,Sporting Kansas City,10,10,0,0,0
Nicholas Gioacchini,St. Louis City,1,1,0,0,0
Nick DePuy,Nashville SC,33,33,0,0,0
Nick Hagglund,Cincinnati,4,4,0,0,0
Nicolás Lodeiro,Seattle Sounders FC,1,1,0,0,0
Nicolás Stefanelli,Inter Miami,1,1,0,0,0
Nigel Robertha,DC United,17,17,0,0,0
Niko Tsakiris,San Jose Earthquakes,8,8,0,0,0
Njabulo Blom,St. Louis City,7,6,0,0,1
Nkosi Tafari Burgess,FC Dallas,2,2,0,0,0
Noah Allen,Inter Miami,10,10,0,0,0
Noel Buck,New England Revolution,2,0,2,0,0
Nouhou Tolo,Seattle Sounders FC,3,2,0,0,1
Obed Vargas,Seattle Sounders FC,2,2,0,0,0
Obinna Nwobodo,Cincinnati,3,2,0,0,1
Olivier Mbaizo,Philadelphia Union,1,1,0,0,0
Omir Fernandez,New York Red Bulls,2,2,0,0,0
Oskar Agren,San Jose Earthquakes,5,0,0,5,0
Osvaldo Alonso,Atlanta United,22,22,0,0,0
Ousseni Bouda,San Jose Earthquakes,2,2,0,0,0
Pablo Bonilla,Portland Timbers,6,6,0,0,0
Pablo Ruiz,Real Salt Lake,4,3,0,0,1
Pablo Sisniega,Charlotte,5,5,0,0,0
Patrick Weah,Minnesota United,1,1,0,0,0
Paul Arriola,FC Dallas,8,8,0,0,0
Paxton Pomykal,FC Dallas,3,3,0,0,0
Pedro Santos,DC United,15,15,0,0,0
Prince Osei Owusu,Toronto FC,3,3,0,0,0
Rafael Czichos,Chicago Fire FC,2,1,0,0,1
Rafael Navarro,Colorado Rapids,1,0,0,1,0
Raheem Edwards,LA Galaxy,1,0,0,0,1
Randall Leal,Nashville SC,11,11,0,0,0
Raoul Petretta,Toronto FC,3,2,0,0,1
Rasmus Alm,St. Louis City,10,10,0,0,0
Raúl Ruidíaz,Seattle Sounders FC,10,10,0,0,0
Reed Baker-Whiting,Seattle Sounders FC,4,4,0,0,0
Richard Ledezma,New York City FC,1,1,0,0,0
Riqui Puig,LA Galaxy,5,5,0,0,0
Robbie Robinson,Inter Miami,14,14,0,0,0
Robert Castellanos,Sporting Kansas City,2,0,0,0,2
Robert Taylor,Inter Miami,3,0,2,0,1
Robin Jansson,Orlando City,1,1,0,0,0
Robin Lod,Minnesota United,12,12,0,0,0
Rodolfo Pizarro,Inter Miami,3,3,0,0,0
Rodrigues,San Jose Earthquakes,2,2,0,0,0
Romell Quioto,CF Montreal,17,17,0,0,0
Ruan,DC United,5,5,0,0,0
Rudy Camacho,CF Montreal,2,0,0,0,2
Russell Canouse,DC United,1,0,0,0,1
Russell Teibert,Vancouver Whitecaps,3,3,0,0,0
Ryan Hollingshead,LAFC,1,1,0,0,0
Ryan Sailor,Inter Miami,2,2,0,0,0
Ryan Spaulding,New England Revolution,6,6,0,0,0
Ryen Jiba,Minnesota United,29,29,0,0,0
Róbert Thorkelsson,CF Montreal,6,6,0,0,0
Saba Lobjanidze,Atlanta United,2,0,0,2,0
Sam Adekugbe,Vancouver Whitecaps,3,3,0,0,0
Sam Nicholson,Colorado Rapids,1,1,0,0,0
Sam Surridge,Nashville SC,1,1,0,0,0
Samuel Adeniran,St. Louis City,1,0,0,0,1
Samuel Piette,CF Montreal,14,14,0,0,0
Santiago Arias,Cincinnati,10,10,0,0,0
Santiago Moreno,Portland Timbers,2,2,0,0,0
Santiago Rodríguez,New York City FC,1,1,0,0,0
Santiago Sosa,Atlanta United,5,3,0,0,2
Sean Johnson,Toronto FC,11,11,0,0,0
Sean Nealis,New York Red Bulls,3,1,0,0,2
Sean Rea,CF Montreal,4,4,0,0,0
Sean Zawadzki,Columbus Crew,2,1,0,0,1
Sebastian Lletget,FC Dallas,11,11,0,0,0
Sebastián Blanco,Portland Timbers,11,11,0,0,0
Sebastián Driussi,Austin FC,4,4,0,0,0
Serge Ngoma,New York Red Bulls,25,25,0,0,0
Sergi Palencia,LAFC,6,6,0,0,0
Sergii Kryvtsov,Inter Miami,2,0,2,0,0
Sergio Córdova,Vancouver Whitecaps,6,6,0,0,0
Sergio Oregel,Chicago Fire FC,2,2,0,0,0
Sergio Santos,Cincinnati,3,3,0,0,0
Shane O'Neill,Toronto FC,5,5,0,0,0
Sidnei Tavares,Colorado Rapids,2,2,0,0,0
Sigurd Rosted,Toronto FC,7,7,0,0,0
Sofiane Djeffal,Austin FC,2,2,0,0,0
Sota Kitahara,Seattle Sounders FC,12,12,0,0,0
Stefan Cleveland,Seattle Sounders FC,1,0,0,1,0
Stefan Frei,Seattle Sounders FC,2,2,0,0,0
Stephen Afrifa,Sporting Kansas City,1,1,0,0,0
Steve Clark,Houston Dynamo FC,1,1,0,0,0
Steven Beitashour,Colorado Rapids,3,3,0,0,0
Steven Birnbaum,DC United,11,10,0,0,1
Steven Sserwadda,New York Red Bulls,18,18,0,0,0
Stipe Biuk,LAFC,1,0,1,0,0
Stiven Jimenez,Cincinnati,15,15,0,0,0
Séga Coulibaly,LA Galaxy,2,2,0,0,0
Talles Magno,New York City FC,4,4,0,0,0
Tanner Beason,San Jose Earthquakes,1,0,0,0,1
Tarik Scott,FC Dallas,28,28,0,0,0
Tate Schmitt,Houston Dynamo FC,26,26,0,0,0
Taxiarchis Fountas,DC United,4,4,0,0,0
Tayvon Gray,New York City FC,4,4,0,0,0
Teal Bunbury,Nashville SC,1,0,0,0,1
Teemu Pukki,Minnesota United,1,0,1,0,0
Teenage Hadebe,Houston Dynamo FC,12,12,0,0,0
Tega Ikoba,Portland Timbers,6,6,0,0,0
Themi Antonoglou,Toronto FC,4,4,0,0,0
Theodore Ku-DiPietro,DC United,4,4,0,0,0
Thiago Almada,Atlanta United,1,0,0,0,1
Thiago Martins,New York City FC,7,7,0,0,0
Thomas Hasal,Vancouver Whitecaps,2,2,0,0,0
Tim Leibold,Sporting Kansas City,14,14,0,0,0
Tim Melia,Sporting Kansas City,12,12,0,0,0
Tim Parker,St. Louis City,1,1,0,0,0
Timothy Tillman,LAFC,4,4,0,0,0
Tommy McNamara,New England Revolution,17,17,0,0,0
Tomás Gómez,Real Salt Lake,2,2,0,0,0
Tomás Vaclík,New England Revolution,5,1,0,4,0
Tony Leone,LAFC,10,10,0,0,0
Tsiki Ntsabeleng,FC Dallas,1,1,0,0,0
Tyler Miller,DC United,8,8,0,0,0
Tyler Wolff,Atlanta United,4,4,0,0,0
Victor Bezerra,Chicago Fire FC,19,19,0,0,0
Vinicius Mello,Charlotte,15,15,0,0,0
Víctor Vázquez,Toronto FC,10,10,0,0,0
Walker Zimmerman,Nashville SC,8,7,0,0,1
Wil Trapp,Minnesota United,1,1,0,0,0
Wilder Cartagena,Orlando City,2,0,0,0,2
Will Bruin,Austin FC,2,2,0,0,0
Will Sands,Columbus Crew,23,23,0,0,0
William Agada,Sporting Kansas City,11,11,0,0,0
William Yarbrough,Colorado Rapids,8,8,0,0,0
Wyatt Omsberg,Chicago Fire FC,2,2,0,0,0
Xavier Arreaga,Seattle Sounders FC,3,3,0,0,0
Xavier Valdez,Houston Dynamo FC,1,1,0,0,0
Xherdan Shaqiri,Chicago Fire FC,5,4,0,0,1
Yamil Asad,DC United,1,1,0,0,0
Yerson Mosquera,Cincinnati,5,4,0,0,1
Yimmi Chará,Portland Timbers,17,17,0,0,0
Yuya Kubo,Cincinnati,6,6,0,0,0
Zac McGraw,Portland Timbers,3,2,0,0,1
Zachary Brault-Guillard,CF Montreal,3,3,0,0,0
Zack Farnsworth,Real Salt Lake,25,25,0,0,0
Zan Kolmanic,Austin FC,24,24,0,0,0
Éric Davis,DC United,2,1,1,0,0
