Possession,Goals,xG,Non-Penalty xG,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Penalty Kicks Made,Penalty Kicks Attempted,Free Kicks,Corner Kicks,Total Passes,Successful Passes,Pass Accuracy,Key Passes,Short Passes,Long Passes,Passes into Penalty Area,Total Dribbles,Successful Dribbles,Dribble Success Rate,Progressive Carries,Progressive Passes,Tackles,Tackles Won,Tackles Lost,Interceptions,Recoveries,Clearances,Blocks,Aerial Duels Won,Aerial Duels Lost,Fouls Committed,Fouls Won,Yellow Cards,Red Cards
58,4,1.03,1.03,13,5,5,3,0,0,49,12,719,641,89.15,6,140,79,43,13,8,61.54,64,115,27,20,7,10,50,10,15,1,4,20,7,0,0
42,0,0.78,0.78,8,4,2,2,0,0,107,13,485,423,87.22,5,88,61,19,22,10,45.45,38,49,14,10,4,16,42,10,17,4,1,7,18,0,0
